label,harness,benchmark,max_parallel,success_pct,metric,tasks,s_per_task,steps_per_task,s_per_step_pooled,s_per_step_task_mean,s_per_step_median,file
enterpriseopsgym-jepa-separate,beam_critic,EnterpriseOps-Gym,1,42.5,score_rate,80,81.9585,11.875,6.9017684210526316,6.729847885382726,6.401277777777778,ejepa-wm-harnesses-enterpriseopsgym-jepa-separate-20260913T035007Z.json
enterpriseopsgym-jepa-separate,beam_critic,EnterpriseOps-Gym,1,36.25,score_rate,80,43.7565375,13.2125,3.31175307473983,3.3584946408449494,3.18445,ejepa-wm-harnesses-enterpriseopsgym-jepa-separate-20260913T074508Z.json
enterpriseopsgym-jepa-separate,revision,EnterpriseOps-Gym,1,38.75,score_rate,80,44.8609,11.1625,4.018893617021276,3.985430361558036,3.796045751633987,ejepa-wm-harnesses-enterpriseopsgym-jepa-separate-20260913T074508Z.json
enterpriseopsgym-jepa-separate,beam_critic,EnterpriseOps-Gym,1,36.25,score_rate,80,55.5388625,15.7125,3.5346929196499604,3.620467569977197,3.450525,ejepa-wm-harnesses-enterpriseopsgym-jepa-separate-20260913T165316Z.json
enterpriseopsgym-jepa-strict,beam_interval,EnterpriseOps-Gym,5,40.0,score_rate,80,121.0997875,10.8625,11.148426927502877,11.042508568457725,10.283861111111111,ejepa-wm-harnesses-enterpriseopsgym-jepa-strict-20260916T213640Z.json
enterpriseopsgym-jepa-strict,beam_interval,EnterpriseOps-Gym,5,40.0,score_rate,80,81.4919125,10.175,8.00903316953317,7.633461220845111,6.08030303030303,ejepa-wm-harnesses-enterpriseopsgym-jepa-strict-20260916T221158Z.json
enterpriseopsgym-jepa-strict,beam_interval,EnterpriseOps-Gym,5,41.25,score_rate,80,50.775725,9.85,5.154895939086295,5.132752616181751,4.762883333333333,ejepa-wm-harnesses-enterpriseopsgym-jepa-strict-20260916T223636Z.json
enterpriseopsgym-llm-wm-vllm,beam_interval,EnterpriseOps-Gym,5,38.75,score_rate,80,156.5067625,10.525,14.870001187648455,14.658296196940825,12.777916666666666,ejepa-wm-harnesses-enterpriseopsgym-llm-wm-vllm-20260916T234905Z.json
enterpriseopsgym-llm-wm-vllm,beam_critic,EnterpriseOps-Gym,5,36.25,score_rate,80,216.450525,10.9,19.85784633027523,18.126469301235325,17.322846666666663,ejepa-wm-harnesses-enterpriseopsgym-llm-wm-vllm-20260916T234905Z.json
enterpriseopsgym-llm-wm-vllm,revision,EnterpriseOps-Gym,5,38.75,score_rate,80,70.8877875,11.325,6.259407284768212,5.920913588489039,5.419528571428572,ejepa-wm-harnesses-enterpriseopsgym-llm-wm-vllm-20260916T234905Z.json
enterpriseopsgym-llm-wm-vllm,itp_i,EnterpriseOps-Gym,5,37.5,score_rate,80,54.1856,12.8125,4.22912,4.383203848644717,4.217416666666667,ejepa-wm-harnesses-enterpriseopsgym-llm-wm-vllm-20260916T234905Z.json
enterpriseopsgym-llm-wm-vllm,beam_interval,EnterpriseOps-Gym,5,37.5,score_rate,80,103.986075,10.4875,9.915239570917759,10.394565672785086,10.413777777777778,ejepa-wm-harnesses-enterpriseopsgym-llm-wm-vllm-20260917T023726Z.json
enterpriseopsgym-llm-wm-vllm,revision,EnterpriseOps-Gym,5,40.0,score_rate,80,63.2062125,10.8875,5.805392652123996,5.449715993054127,5.099842857142857,ejepa-wm-harnesses-enterpriseopsgym-llm-wm-vllm-20260917T023726Z.json
enterpriseopsgym-llm-wm-vllm,itp_i,EnterpriseOps-Gym,5,41.25,score_rate,80,58.197475,12.6125,4.614269573835481,4.501445500162711,4.312276923076923,ejepa-wm-harnesses-enterpriseopsgym-llm-wm-vllm-20260917T023726Z.json
enterpriseopsgym-llm-wm-vllm,beam_interval,EnterpriseOps-Gym,5,35.0,score_rate,80,99.5268,10.6625,9.3342837045721,9.691881806011938,9.50566923076923,ejepa-wm-harnesses-enterpriseopsgym-llm-wm-vllm-20260917T034207Z.json
beam-ablation-eops-s16-h3-e2-open-r1,beam_interval,EnterpriseOps-Gym,3,37.5,score_rate,80,65.676675,9.7875,6.710260536398468,6.646635735479798,6.1425,ejepa-wm-harnesses-beam-ablation-eops-s16-h3-e2-open-r1-20260917T185700Z.json
beam-ablation-eops-s4-h3-e2-open-r1,beam_interval,EnterpriseOps-Gym,3,37.5,score_rate,80,49.65155,11.975,4.146267223382046,4.410536632970243,4.006263229308006,ejepa-wm-harnesses-beam-ablation-eops-s4-h3-e2-open-r1-20260917T183342Z.json
beam-ablation-eops-s8-h2-e2-open-r1,beam_interval,EnterpriseOps-Gym,3,41.25,score_rate,80,43.798875,10.2125,4.28875152998776,4.265159111146987,4.007539682539682,ejepa-wm-harnesses-beam-ablation-eops-s8-h2-e2-open-r1-20260917T192710Z.json
beam-ablation-eops-s8-h3-e2-closed-r1,beam_interval,EnterpriseOps-Gym,3,37.5,score_rate,80,95.0870875,12.0375,7.899238836967808,8.019485689757339,7.9511375,ejepa-wm-harnesses-beam-ablation-eops-s8-h3-e2-closed-r1-20260917T201031Z.json
beam-ablation-eops-s8-h3-e2-open-r1,beam_interval,EnterpriseOps-Gym,3,33.75,score_rate,80,69.3330375,9.975,6.95068045112782,6.798639297727928,6.364375,ejepa-wm-harnesses-beam-ablation-eops-s8-h3-e2-open-r1-20260917T180152Z.json
beam-ablation-eops-s8-h4-e2-open-r1,beam_interval,EnterpriseOps-Gym,3,36.25,score_rate,80,49.4882125,11.3125,4.37464861878453,4.336590911753648,4.142158181818181,ejepa-wm-harnesses-beam-ablation-eops-s8-h4-e2-open-r1-20260917T194738Z.json
