policy_steps,policy_prompt_tokens,policy_output_tokens,final_context_tokens,wm_steps,wm_calls,run,task
25,120090,3159,9814,25,7,LLM-WM vLLM beam mp5,task_20251205_101915_742_d4a463c3_8eac8077
13,53866,1042,6921,13,3,LLM-WM vLLM beam mp5,task_20251205_192805_864_464ee3e0_91f2c02f
9,17304,178,2922,9,2,LLM-WM vLLM beam mp5,task_20251206_091748_833_a8eea1c0_7775ff15
3,4486,226,1946,3,1,LLM-WM vLLM beam mp5,task_20251206_114027_879_5c0cd3a2_904991cc
8,14231,210,2509,8,2,LLM-WM vLLM beam mp5,task_20251209_094942_478_701c5774_dc4a4b13
6,12462,449,3202,6,2,LLM-WM vLLM beam mp5,task_20251209_141356_232_4a23b9c9_9d41f343
11,38750,583,5643,11,3,LLM-WM vLLM beam mp5,task_20251210_150413_088_8db296d5_81f04ff0
6,10906,192,2818,6,1,LLM-WM vLLM beam mp5,task_20251210_205620_593_391f1eff_ad65c160
8,28856,1019,5355,8,2,LLM-WM vLLM beam mp5,task_20251211_194841_657_8ce75c22_43c6bc2f
2,2549,113,1508,2,1,LLM-WM vLLM beam mp5,task_20251212_172511_458_e6427839_47076c15
6,7806,301,2386,6,1,LLM-WM vLLM beam mp5,task_20251215_113102_438_df2c536d_49cda522
8,20438,1053,4253,8,3,LLM-WM vLLM beam mp5,task_20251216_131651_690_764e5ead_f8619b02
17,58421,1202,6268,17,5,LLM-WM vLLM beam mp5,task_20251217_073807_153_761f6b82_cba63024
6,10297,233,2337,6,2,LLM-WM vLLM beam mp5,task_20251217_140216_182_701c5774_9fcdf867
7,15259,983,4022,7,2,LLM-WM vLLM beam mp5,task_20251217_183416_700_764e5ead_4c46beb0
13,42174,1031,5379,13,4,LLM-WM vLLM beam mp5,task_20251217_205244_161_764e5ead_20429ef8
9,27165,856,4746,9,3,LLM-WM vLLM beam mp5,task_20251217_231709_248_b25153b4_4c5f9bde
7,19031,1409,4538,7,2,LLM-WM vLLM beam mp5,task_20251218_063226_501_97d7df7d_8fd400d1
7,17523,942,4029,7,2,LLM-WM vLLM beam mp5,task_20251218_082708_201_99ba2325_51726f9c
12,30670,607,3916,12,3,LLM-WM vLLM beam mp5,task_20251218_102205_211_1628b966_06687c79
9,19287,505,3442,9,3,LLM-WM vLLM beam mp5,task_20251218_103430_472_701c5774_42c99459
7,13976,343,2903,7,2,LLM-WM vLLM beam mp5,task_20251218_115158_065_1628b966_72217cb4
11,27694,342,4207,11,3,LLM-WM vLLM beam mp5,task_20251218_121722_423_1d219d93_8218da6c
3,5567,422,2822,3,1,LLM-WM vLLM beam mp5,task_20251218_124419_383_66392a82_52c8290e
9,20444,325,4038,9,2,LLM-WM vLLM beam mp5,task_20251218_143555_095_97d7df7d_ece487bd
10,21035,177,3427,10,3,LLM-WM vLLM beam mp5,task_20251219_114935_971_a8eea1c0_188fc892
14,49536,2697,6441,14,4,LLM-WM vLLM beam mp5,task_20251219_115208_288_701c5774_66a236f8
9,23765,629,4223,9,3,LLM-WM vLLM beam mp5,task_20251219_205632_335_cd46e60f_4db23138
7,20129,347,4980,7,2,LLM-WM vLLM beam mp5,task_20251222_130954_812_a9f62433_c0252ed2
4,10799,480,4552,4,1,LLM-WM vLLM beam mp5,task_20251222_131624_825_8ce75c22_535e7ced
11,27584,222,4080,11,3,LLM-WM vLLM beam mp5,task_20251223_061756_991_a8eea1c0_e497a345
8,15938,431,3305,8,2,LLM-WM vLLM beam mp5,task_20251223_194142_190_46ca2862_d9cae434
8,17032,215,3341,8,3,LLM-WM vLLM beam mp5,task_20251224_195437_497_e6427839_6357fed2
13,42427,909,6041,13,3,LLM-WM vLLM beam mp5,task_20251224_215807_175_8ce75c22_1c31b786
9,63406,1441,12407,9,2,LLM-WM vLLM beam mp5,task_20251225_062927_003_d9bcd1e5_d996901a
10,32490,898,5451,10,2,LLM-WM vLLM beam mp5,task_20251225_165311_201_4d9df647_7b3f1641
8,22597,772,4848,8,3,LLM-WM vLLM beam mp5,task_20251225_180047_141_a8eea1c0_002e725f
6,11996,177,3051,6,2,LLM-WM vLLM beam mp5,task_20251226_072511_447_4f1a62dd_cdc0e960
8,22742,774,4936,8,3,LLM-WM vLLM beam mp5,task_20260104_192853_372_6f5b66fc_12ceda34
9,28423,873,5726,9,2,LLM-WM vLLM beam mp5,task_20260104_205924_379_e0ac0c6d_cec96398
10,19008,222,3095,10,3,LLM-WM vLLM beam mp5,task_20260105_145825_060_701c5774_1054ca6e
4,5817,239,2060,4,1,LLM-WM vLLM beam mp5,task_20260105_153912_808_8ce75c22_f7553dba
5,7496,262,2476,5,1,LLM-WM vLLM beam mp5,task_20260105_175342_189_e5bf1251_60089921
9,33812,588,5981,9,2,LLM-WM vLLM beam mp5,task_20260106_003109_589_b5bd4eb9_d0454fa5
6,14061,507,3857,6,2,LLM-WM vLLM beam mp5,task_20260106_040225_149_7ebc1127_e9ac645c
5,16714,574,5002,5,1,LLM-WM vLLM beam mp5,task_20260106_112645_853_8e9e30d7_1d4b934c
10,28931,826,4992,10,2,LLM-WM vLLM beam mp5,task_20260106_123514_994_0154326e_7a42392c
