policy_steps,policy_prompt_tokens,policy_output_tokens,final_context_tokens,wm_steps,wm_calls,run,task
10,23529,2184,4842,0,0,baseline(mp1),task_20251219_115208_288_701c5774_66a236f8
8,16752,960,3706,0,0,baseline(mp1),task_20251219_205632_335_cd46e60f_4db23138
7,16969,308,4435,0,0,baseline(mp1),task_20251222_130954_812_a9f62433_c0252ed2
4,8823,566,4106,0,0,baseline(mp1),task_20251222_131624_825_8ce75c22_535e7ced
11,21798,201,3533,0,0,baseline(mp1),task_20251223_061756_991_a8eea1c0_e497a345
8,11777,492,2840,0,0,baseline(mp1),task_20251223_194142_190_46ca2862_d9cae434
8,12824,215,2815,0,0,baseline(mp1),task_20251224_195437_497_e6427839_6357fed2
11,24142,757,4433,0,0,baseline(mp1),task_20251224_215807_175_8ce75c22_1c31b786
10,70025,1885,12440,0,0,baseline(mp1),task_20251225_062927_003_d9bcd1e5_d996901a
15,42881,824,5403,0,0,baseline(mp1),task_20251225_165311_201_4d9df647_7b3f1641
8,18565,639,4189,0,0,baseline(mp1),task_20251225_180047_141_a8eea1c0_002e725f
6,8840,173,2521,0,0,baseline(mp1),task_20251226_072511_447_4f1a62dd_cdc0e960
8,17146,676,3882,0,0,baseline(mp1),task_20260104_192853_372_6f5b66fc_12ceda34
8,19077,938,4753,0,0,baseline(mp1),task_20260104_205924_379_e0ac0c6d_cec96398
8,9474,269,1955,0,0,baseline(mp1),task_20260105_145825_060_701c5774_1054ca6e
4,3710,193,1487,0,0,baseline(mp1),task_20260105_153912_808_8ce75c22_f7553dba
5,4866,283,1971,0,0,baseline(mp1),task_20260105_175342_189_e5bf1251_60089921
9,29164,605,5463,0,0,baseline(mp1),task_20260106_003109_589_b5bd4eb9_d0454fa5
6,10914,378,3201,0,0,baseline(mp1),task_20260106_040225_149_7ebc1127_e9ac645c
6,12789,384,3773,0,0,baseline(mp1),task_20260106_112645_853_8e9e30d7_1d4b934c
11,27357,871,4882,0,0,baseline(mp1),task_20260106_123514_994_0154326e_7a42392c
3,5137,317,2681,3,1,JEPA s8h3 (ablation),task_20251121_134729_533_464ee3e0_2dcf2712
7,17211,305,3840,7,2,JEPA s8h3 (ablation),task_20251125_110309_032_464ee3e0_33f12828
4,6094,144,2165,4,1,JEPA s8h3 (ablation),task_20251125_150631_436_e5bf1251_77dd7cbb
5,10141,110,2681,5,2,JEPA s8h3 (ablation),task_20251126_054150_897_7ebc1127_60097647
12,25267,450,3545,12,3,JEPA s8h3 (ablation),task_20251126_055301_905_8e9e30d7_6aab00b8
6,13483,440,3634,6,2,JEPA s8h3 (ablation),task_20251126_070103_077_501bbb2c_7c7c4ea6
4,10775,542,5207,4,1,JEPA s8h3 (ablation),task_20251126_122314_557_be6c9105_daf0aae1
6,13180,829,3908,6,2,JEPA s8h3 (ablation),task_20251126_145836_025_be6c9105_3b572b98
8,20599,1315,4698,8,2,JEPA s8h3 (ablation),task_20251126_182216_326_66392a82_d3ff64ca
