benchmark,world_model,harness,rollout_mode,runs,success_rate_pct,success_rate_stdev,mean_task_seconds,total_tasks,on_pareto_front,summary_files
Terminal-Bench-2.0,LLM-WM (state output),beam_critic,open_loop,1,31.46067415730337,0.0,327.3693033707865,89,False,ejepa-wm-harnesses-terminalbench-llm-wm-20260914T032713Z.json
Terminal-Bench-2.0,Enterprise-JEPA,itp_i,closed_loop,1,30.337078651685395,0.0,507.5386516853933,89,False,ejepa-wm-harnesses-terminalbench-jepa-20260910T184302Z.json
Terminal-Bench-2.0,Enterprise-JEPA,beam_critic,closed_loop,1,30.337078651685395,0.0,476.01821348314604,89,False,ejepa-wm-harnesses-terminalbench-jepa-20260910T184302Z.json
Terminal-Bench-2.0,LLM-WM (state output),revision,closed_loop,1,30.337078651685395,0.0,362.9168539325843,89,False,ejepa-wm-harnesses-terminalbench-llm-wm-20260913T171052Z.json
Terminal-Bench-2.0,Enterprise-JEPA,beam_interval,closed_loop,1,29.213483146067414,0.0,384.1264943820225,89,False,ejepa-wm-harnesses-terminalbench-jepa-20260910T184302Z.json
Terminal-Bench-2.0,LLM-WM (state output),itp_i,closed_loop,1,29.213483146067414,0.0,269.6224157303371,89,True,ejepa-wm-harnesses-terminalbench-llm-wm-20260910T052224Z.json
Terminal-Bench-2.0,LLM-WM (state output),beam_interval,open_loop,1,29.213483146067414,0.0,290.5524831460674,89,False,ejepa-wm-harnesses-terminalbench-llm-wm-20260914T032850Z.json
Terminal-Bench-2.0,LLM-WM (tool output),revision,closed_loop,1,28.08988764044944,0.0,527.3749662921349,89,False,ejepa-wm-harnesses-terminalbench-agentworld-20260906T203058Z.json
Terminal-Bench-2.0,Enterprise-JEPA,revision,closed_loop,1,28.08988764044944,0.0,318.42959550561795,89,False,ejepa-wm-harnesses-terminalbench-jepa-20260910T184302Z.json
Terminal-Bench-2.0,Enterprise-JEPA,beam_critic,open_loop,1,25.842696629213485,0.0,290.35869662921345,89,False,ejepa-wm-harnesses-Terminal-Bench-2.0-beam-critic-separate-20260913T174434Z.json
Terminal-Bench-2.0,LLM-WM (tool output),beam_interval,closed_loop,1,21.34831460674157,0.0,953.5881797752809,89,False,ejepa-wm-harnesses-terminalbench-agentworld-20260906T203058Z.json
WorkBench,LLM-WM (state output),revision,closed_loop,1,71.0,0.0,32.51147,100,True,ejepa-wm-harnesses-workbench-llm-wm-20260909T224406Z.json
WorkBench,LLM-WM (tool output),revision,closed_loop,1,70.0,0.0,46.564099999999996,100,False,ejepa-wm-harnesses-workbench-agentworld-20260905T063814Z.json
WorkBench,LLM-WM (tool output),reference,closed_loop,1,68.0,0.0,33.65586,100,False,ejepa-wm-harnesses-workbench-agentworld-20260905T063814Z.json
WorkBench,Enterprise-JEPA,revision,closed_loop,2,65.5,9.192388155425117,20.75,100,True,ejepa-wm-harnesses-workbench-jepa-20260909T153841Z.json;ejepa-wm-harnesses-workbench-jepa-20260910T183732Z.json
WorkBench,Enterprise-JEPA,beam_critic,open_loop,1,65.0,0.0,31.51425,100,False,ejepa-wm-harnesses-WorkBench-beam-critic-separate-20260913T165159Z.json
WorkBench,Enterprise-JEPA,itp_i,closed_loop,2,64.5,7.7781745930520225,26.892905,100,False,ejepa-wm-harnesses-workbench-jepa-20260909T153841Z.json;ejepa-wm-harnesses-workbench-jepa-20260910T183732Z.json
WorkBench,LLM-WM (tool output),beam_interval,closed_loop,1,64.0,0.0,313.51305,100,False,ejepa-wm-harnesses-workbench-agentworld-20260905T063814Z.json
WorkBench,Enterprise-JEPA,reference,closed_loop,2,62.5,4.949747468305833,13.36289,100,True,ejepa-wm-harnesses-workbench-jepa-20260909T153841Z.json;ejepa-wm-harnesses-workbench-jepa-20260910T183732Z.json
WorkBench,Enterprise-JEPA,beam_critic,closed_loop,2,62.0,4.242640687119285,38.735085000000005,100,False,ejepa-wm-harnesses-workbench-jepa-20260909T153841Z.json;ejepa-wm-harnesses-workbench-jepa-20260910T183732Z.json
WorkBench,LLM-WM (state output),beam_interval,closed_loop,1,61.0,0.0,69.87194000000001,100,False,ejepa-wm-harnesses-workbench-llm-wm-20260909T224406Z.json
