world_model,backend,state_cache,candidate_mode,statistic,horizon,candidates,transitions,repeats,seconds_per_candidate_trajectory,seconds_per_call,seconds_per_call_mean,seconds_per_call_median,seconds_per_call_stdev,seconds_per_transition,predicted_tokens_per_call,predicted_tokens_per_transition
Enterprise-JEPA,transformers,cold,distinct,mean,1,8,8,10,0.006947379361372441,0.055579034890979526,0.055579034890979526,0.04723096778616309,0.02406945929965194,0.006947379361372441,,
Enterprise-JEPA,transformers,cold,distinct,mean,2,8,16,10,0.00653326369356364,0.05226610954850912,0.05226610954850912,0.05109245236963034,0.003741242373303264,0.00326663184678182,,
Enterprise-JEPA,transformers,cold,distinct,mean,4,8,32,10,0.0075082264025695625,0.0600658112205565,0.0600658112205565,0.05904132407158613,0.0031697624542953774,0.0018770566006423906,,
Enterprise-JEPA,transformers,cold,distinct,mean,8,8,64,10,0.009560183610301465,0.07648146888241172,0.07648146888241172,0.07552741188555956,0.002843070140686126,0.0011950229512876832,,
LLM-WM (state output),transformers,cold,distinct,mean,1,8,8,5,0.3782587228575721,3.026069782860577,3.026069782860577,2.528372666798532,1.0844705924995872,0.3782587228575721,471.4,58.925
LLM-WM (state output),transformers,cold,distinct,mean,2,8,16,5,0.48645192263647913,3.891615381091833,3.891615381091833,3.829265361651778,0.19262295589829959,0.24322596131823956,915.0,57.1875
LLM-WM (state output),transformers,cold,distinct,mean,4,8,32,5,0.8508301426656544,6.806641141325235,6.806641141325235,6.130596570670605,1.373798750205611,0.2127075356664136,1644.6,51.39375
LLM-WM (state output),transformers,cold,distinct,mean,8,8,64,5,1.5132957614026963,12.10636609122157,12.10636609122157,11.658398895524442,1.6213453457720273,0.18916197017533704,3133.8,48.965625
LLM-WM (tool output),transformers,cold,distinct,mean,1,8,8,5,117.8335,942.668,942.668,,0.91,117.8335,17408.0,2176.0
