benchmark,target,world_model,world_model_checkpoint,harness,rollout_mode,config_model_name,runs,tasks,expected_tasks_per_run,task_completeness,critic_fire_rate,avg_tool_calls,avg_failed_tool_calls,avg_unnecessary_tool_calls,avg_wm_steps,avg_wm_calls,avg_advice_injections,avg_terminal_advice_injections,avg_replans,avg_replans_with_plan,avg_beam_plan_steps,avg_imagined_plan_steps,avg_planning_llm_calls,avg_critic_checks,avg_critic_fires,avg_action_overrides,avg_refinement_rounds,avg_refinement_score_passes,avg_revisions,avg_reference_injections,avg_judge_calls,avg_wm_model_calls,source_files
WorkBench,longest_100_balanced,LLM-WM (tool output),world_model,beam_interval,closed_loop,wm_agent,1,100,100,1.0,,5.2,,,0.0,0.0,0.7826,0.0,0.913,0.913,0.9348,3.3696,3.4565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ejepa-wm-harnesses-workbench-agentworld-20260905T063814Z.json
WorkBench,longest_100_balanced,LLM-WM (tool output),world_model,itp_i,closed_loop,wm_agent,1,100,100,1.0,,5.23,,,2.3947,2.3947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ejepa-wm-harnesses-workbench-agentworld-20260905T063814Z.json
WorkBench,longest_100_balanced,LLM-WM (tool output),world_model,reference,closed_loop,wm_agent,1,100,100,1.0,,5.12,,,2.093,2.1628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.9302,3.8605,ejepa-wm-harnesses-workbench-agentworld-20260905T063814Z.json
WorkBench,longest_100_balanced,LLM-WM (tool output),world_model,revision,closed_loop,wm_agent,1,100,100,1.0,,5.21,,,2.2955,2.3864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2727,0.0,2.1364,4.2727,ejepa-wm-harnesses-workbench-agentworld-20260905T063814Z.json
WorkBench,all,none / baseline,,baseline,closed_loop,wm_agent3,3,2070,690,1.0,,3.113,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,ejepa-bench-repeat-workbench-baseline-20260831T051431Z.json
WorkBench,longest_100_balanced,none / baseline,,baseline,closed_loop,wm_agent2,3,300,100,1.0,,4.91,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ejepa-bench-repeat-workbench-baseline-newset-20260904T154736Z.json
Workspace-Bench,lite,Enterprise-JEPA,data_jepa_heads_partial_imb_terminal_3,beam_critic,open_loop,,1,100,100,1.0,,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,ejepa-wm-harnesses-Workspace-Bench-beam-critic-separate-20260914T005540Z.json
Workspace-Bench,lite,Enterprise-JEPA,data_jepa_heads_partial_imb_terminal_3,beam_critic,closed_loop,,1,100,100,1.0,,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,ejepa-wm-harnesses-workspace-bench-jepa-20260909T073946Z.json
Workspace-Bench,lite,Enterprise-JEPA,data_jepa_heads_partial_imb_terminal_3,beam_interval,closed_loop,,1,100,100,1.0,,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,ejepa-wm-harnesses-workspace-bench-jepa-20260909T073946Z.json
Workspace-Bench,lite,Enterprise-JEPA,data_jepa_heads_partial_imb_terminal_3,itp_i,closed_loop,,1,100,100,1.0,,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,ejepa-wm-harnesses-workspace-bench-jepa-20260909T073946Z.json
Workspace-Bench,lite,Enterprise-JEPA,data_jepa_heads_partial_imb_terminal_3,reference,closed_loop,,1,100,100,1.0,,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,ejepa-wm-harnesses-workspace-bench-jepa-20260909T073946Z.json
Workspace-Bench,lite,Enterprise-JEPA,data_jepa_heads_partial_imb_terminal_3,revision,closed_loop,,1,100,100,1.0,,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,ejepa-wm-harnesses-workspace-bench-jepa-20260909T073946Z.json
Workspace-Bench,lite,LLM-WM (state output),llm_wm_beam_action_terminal_crmarenapro,beam_critic,closed_loop,,1,100,100,1.0,,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,ejepa-wm-harnesses-workspace-bench-llm-wm-20260909T173305Z.json
Workspace-Bench,lite,LLM-WM (state output),llm_wm_beam_action_terminal_crmarenapro,beam_interval,closed_loop,,3,300,100,1.0,,1.0,0.4533,0.4533,,,,,,,,,,,,,,,,,,,ejepa-wm-harnesses-workspace-bench-llm-wm-20260909T153544Z.json;ejepa-wm-harnesses-workspace-bench-llm-wm-20260909T173220Z.json;ejepa-wm-harnesses-workspace-bench-llm-wm-20260909T173305Z.json
Workspace-Bench,lite,LLM-WM (state output),llm_wm_beam_action_terminal_crmarenapro,itp_i,closed_loop,,3,300,100,1.0,,1.0,0.3333,0.3333,,,,,,,,,,,,,,,,,,,ejepa-wm-harnesses-workspace-bench-llm-wm-20260909T153544Z.json;ejepa-wm-harnesses-workspace-bench-llm-wm-20260909T173220Z.json;ejepa-wm-harnesses-workspace-bench-llm-wm-20260909T173305Z.json
Workspace-Bench,lite,LLM-WM (state output),llm_wm_beam_action_terminal_crmarenapro,revision,closed_loop,,1,100,100,1.0,,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,ejepa-wm-harnesses-workspace-bench-llm-wm-20260909T173305Z.json
Workspace-Bench,lite,LLM-WM (tool output),world_model2,beam_critic,closed_loop,,1,100,100,1.0,,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,ejepa-wm-harnesses-workspace-bench-agentworld-20260906T171353Z.json
Workspace-Bench,lite,LLM-WM (tool output),world_model2,beam_interval,closed_loop,,1,100,100,1.0,,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,ejepa-wm-harnesses-workspace-bench-agentworld-20260906T063334Z.json
Workspace-Bench,lite,LLM-WM (tool output),world_model2,itp_i,closed_loop,,1,100,100,1.0,,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,ejepa-wm-harnesses-workspace-bench-agentworld-20260906T063334Z.json
Workspace-Bench,lite,LLM-WM (tool output),world_model2,revision,closed_loop,,1,100,100,1.0,,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,ejepa-wm-harnesses-workspace-bench-agentworld-20260906T063334Z.json
Workspace-Bench,lite,none / baseline,,baseline,closed_loop,,3,300,100,1.0,,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,ejepa-bench-repeat-workspace-bench-lite-baseline-20260904T165925Z.json
crmarenapro,world_model_test_longest_100,Enterprise-JEPA,data_jepa_heads_partial_imb_terminal_3,beam_critic,open_loop,,1,100,100,1.0,0.5876,14.96,0.89,0.89,15.43,3.75,0.08,0.5,2.38,1.25,15.43,3.22,17.36,3.88,2.28,0.0,2.32,1.19,0.0,0.0,0.0,0.0,ejepa-wm-harnesses-crmarenapro-beam-critic-separate-20260913T143523Z.json
crmarenapro,world_model_test_longest_100,Enterprise-JEPA,data_jepa_heads_partial_imb_terminal_3,beam_critic,closed_loop,,1,100,100,1.0,0.7881,14.2604,1.2188,1.2188,14.875,1.2292,0.9375,0.1979,0.9792,0.9792,14.875,3.9167,3.9167,1.2292,0.9688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ejepa-wm-harnesses-crmarenapro-jepa-revised-harness-20260908T220235Z.json
crmarenapro,world_model_test_longest_100,Enterprise-JEPA,data_jepa_heads_partial_imb_terminal_3,beam_interval,closed_loop,,2,200,100,1.0,,10.6533,0.8442,0.8442,11.0251,0.0,0.9698,0.0,1.0,1.0,11.0251,3.9749,3.9899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ejepa-wm-harnesses-crmarenapro-jepa-20260904T213144Z.json;ejepa-wm-harnesses-crmarenapro-jepa-revised-harness-20260908T220235Z.json
crmarenapro,world_model_test_longest_100,Enterprise-JEPA,data_jepa_heads_partial_imb_terminal_3,itp_i,closed_loop,,2,200,100,1.0,,10.3263,0.8684,0.8684,10.6842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ejepa-wm-harnesses-crmarenapro-jepa-20260904T213144Z.json;ejepa-wm-harnesses-crmarenapro-jepa-revised-harness-20260908T220235Z.json
crmarenapro,world_model_test_longest_100,Enterprise-JEPA,data_jepa_heads_partial_imb_terminal_3,reference,closed_loop,,1,100,100,1.0,,14.1212,0.9091,0.9091,14.6566,11.2626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,10.9697,ejepa-wm-harnesses-crmarenapro-jepa-revised-harness-20260908T220235Z.json
crmarenapro,world_model_test_longest_100,Enterprise-JEPA,data_jepa_heads_partial_imb_terminal_3,revision,closed_loop,,1,100,100,1.0,,14.9897,1.0206,1.0206,15.4433,12.1546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.7835,0.0,0.0,11.8144,ejepa-wm-harnesses-crmarenapro-jepa-revised-harness-20260908T220235Z.json
crmarenapro,world_model_test_longest_100,LLM-WM (state output),llm_wm_beam_action_terminal_crmarenapro,beam_critic,closed_loop,,1,100,100,1.0,0.4444,10.5424,0.9322,0.9322,11.4237,2.1356,0.9322,1.0,0.9661,0.9492,11.4237,3.7458,3.7797,2.1356,0.9492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ejepa-wm-harnesses-crmarenapro-llm-wm-20260908T163958Z.json
crmarenapro,world_model_test_longest_100,LLM-WM (state output),llm_wm_beam_action_terminal_crmarenapro,beam_interval,closed_loop,,1,100,100,1.0,,14.0208,1.0208,1.0208,14.625,0.0,0.5833,0.0,1.0,1.0,14.625,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ejepa-wm-harnesses-crmarenapro-llm-wm-20260908T163958Z.json
crmarenapro,world_model_test_longest_100,LLM-WM (state output),llm_wm_beam_action_terminal_crmarenapro,itp_i,closed_loop,,1,100,100,1.0,,14.1111,1.0707,1.0707,14.8081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ejepa-wm-harnesses-crmarenapro-llm-wm-20260908T163958Z.json
crmarenapro,world_model_test_longest_100,LLM-WM (state output),llm_wm_beam_action_terminal_crmarenapro,revision,closed_loop,,1,100,100,1.0,,16.1633,0.9286,0.9286,16.4694,14.898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.1531,0.0,0.0,14.7041,ejepa-wm-harnesses-crmarenapro-llm-wm-20260908T163958Z.json
crmarenapro,world_model_test_longest_100,LLM-WM (tool output),world_model2,beam_critic,closed_loop,,1,100,100,1.0,0.1538,3.6,0.8,0.8,4.4,2.6,0.4,0.2,0.4,0.4,4.4,1.6,1.6,2.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ejepa-wm-harnesses-crmarenapro-agentworld-revised-harness-20260905T033125Z.json
crmarenapro,world_model_test_longest_100,LLM-WM (tool output),world_model2,beam_interval,closed_loop,,1,100,100,1.0,,6.6429,0.7143,0.7143,6.8095,0.0,1.0,0.0,1.0,1.0,6.8095,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ejepa-wm-harnesses-crmarenapro-agentworld-revised-harness-20260905T033125Z.json
crmarenapro,world_model_test_longest_100,LLM-WM (tool output),world_model2,itp_i,closed_loop,,2,200,100,1.0,,7.115,0.64,0.64,7.255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ejepa-wm-harnesses-crmarenapro-agentworld-20260904T202248Z.json;ejepa-wm-harnesses-crmarenapro-agentworld-revised-harness-20260905T033125Z.json
crmarenapro,world_model_test_longest_100,LLM-WM (tool output),world_model2,revision,closed_loop,,1,100,100,1.0,,15.2949,1.5385,1.5385,15.6795,6.7949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8077,0.0,6.0641,12.1026,ejepa-wm-harnesses-crmarenapro-agentworld-revised-harness-20260906T000410Z.json
crmarenapro,world_model_test,none / baseline,,baseline,closed_loop,,3,1284,428,1.0,,5.852,0.5569,0.5569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,ejepa-bench-repeat-crmarenapro-baseline-20260831T051328Z.json
crmarenapro,world_model_test_longest_100,none / baseline,,baseline,closed_loop,,4,400,100,1.0,,9.4275,0.655,0.655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ejepa-bench-repeat-crmarenapro-baseline-20260904T154408Z.json;ejepa-bench-repeat-crmarenapro-baseline-revised-harness-20260905T033056Z.json
