benchmark,target,world_model,world_model_checkpoint,harness,rollout_mode,config_model_name,runs,tasks,expected_tasks_per_run,task_completeness,critic_fire_rate,avg_tool_calls,avg_failed_tool_calls,avg_unnecessary_tool_calls,avg_wm_steps,avg_wm_calls,avg_advice_injections,avg_terminal_advice_injections,avg_replans,avg_replans_with_plan,avg_beam_plan_steps,avg_imagined_plan_steps,avg_planning_llm_calls,avg_critic_checks,avg_critic_fires,avg_action_overrides,avg_refinement_rounds,avg_refinement_score_passes,avg_revisions,avg_reference_injections,avg_judge_calls,avg_wm_model_calls,source_files
EnterpriseOps-Gym,opsgym_80_test,Enterprise-JEPA,data_jepa_heads_partial_imb_terminal_3,itp_i,closed_loop,,3,240,80,1.0,,11.8875,2.1,2.1,11.7583,43.3625,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ejepa-wm-harnesses-enterpriseopsgym-jepa-20260911T061213Z.json;ejepa-wm-harnesses-enterpriseopsgym-jepa-separate-20260912T205112Z.json;ejepa-wm-harnesses-wm-harnesses-20260903T200318Z.json
EnterpriseOps-Gym,opsgym_80_test,Enterprise-JEPA,data_jepa_heads_partial_imb_terminal_3,reference,closed_loop,,1,80,80,1.0,,12.5875,2.425,2.425,11.975,11.05,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,11.0625,0.0,11.05,ejepa-wm-harnesses-wm-harnesses-20260903T200318Z.json
EnterpriseOps-Gym,opsgym_80_test,Enterprise-JEPA,data_jepa_heads_partial_imb_terminal_3,revision,closed_loop,,2,160,80,1.0,,10.3688,1.0688,1.0688,9.9563,9.0188,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0813,0.0,0.0,9.0188,ejepa-wm-harnesses-enterpriseopsgym-jepa-20260911T061213Z.json;ejepa-wm-harnesses-wm-harnesses-20260903T200318Z.json
EnterpriseOps-Gym,opsgym_80_test,Enterprise-JEPA,data_jepa_heads_partial_imb_terminal_3,revision,open_loop,,1,80,80,1.0,,10.1625,1.3125,1.3125,9.8625,8.925,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9875,0.0,0.0,8.925,ejepa-wm-harnesses-enterpriseopsgym-jepa-separate-20260913T074508Z.json
EnterpriseOps-Gym,opsgym_80_test,LLM-WM (state output),llm_wm_beam_action_terminal_crmarenapro,beam_critic,closed_loop,,1,80,80,1.0,0.4894,9.0,0.6456,0.6456,8.6375,7.6625,3.0125,11.675,7.1625,3.675,8.6375,13.4625,14.3375,7.6625,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ejepa-wm-harnesses-enterpriesops-gym-llm-wm-20260911T173111Z.json
EnterpriseOps-Gym,opsgym_80_test,LLM-WM (state output),llm_wm_beam_action_terminal_crmarenapro,beam_critic,open_loop,,2,160,80,1.0,0.3698,9.2,0.9688,0.9688,8.625,6.2188,0.6,6.1188,5.0687,1.7437,8.625,4.3937,2.3062,6.2188,2.3,0.0,1.35,0.8375,0.0,0.0,0.0,0.0,ejepa-bench-repeat-enterpriseops-gym-trained-llm-true-qwen3.6-27b-20260903T040123Z.json;ejepa-wm-harnesses-enterpriseopsgym-llm-wm-2-20260914T040655Z.json
EnterpriseOps-Gym,opsgym_80_test,LLM-WM (state output),world_model,beam_critic,open_loop,,6,480,80,1.0,0.2856,9.1125,0.8845,0.8845,8.6125,7.6021,0.6292,8.7396,4.1771,1.4375,8.6125,3.4979,2.1708,7.6021,2.1708,0.0,,,,,,,ejepa-bench-repeat-enterpriseops-gym-trained-llm-true-qwen3.6-27b-20260902T170100Z.json;ejepa-bench-repeat-enterpriseops-gym-trained-llm-true-qwen3.6-27b-20260903T000758Z.json;ejepa-bench-repeat-enterpriseops-gym-trained-llm-true-qwen3.6-27b-20260903T023639Z.json
EnterpriseOps-Gym,opsgym_80_test,LLM-WM (state output),llm_wm_beam_action_terminal_crmarenapro,beam_interval,closed_loop,,1,80,80,1.0,,9.4875,0.675,0.675,8.9375,0.0,1.6125,0.0,7.65,1.725,8.9375,6.8125,6.9125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ejepa-wm-harnesses-enterpriesops-gym-llm-wm-20260911T173111Z.json
EnterpriseOps-Gym,opsgym_80_test,LLM-WM (state output),llm_wm_beam_action_terminal_crmarenapro,beam_interval,open_loop,,1,80,80,1.0,,9.125,0.7625,0.7625,8.625,0.0,0.225,0.0,3.9,0.8625,8.625,1.7875,1.1125,0.0,0.0,0.0,1.1125,0.8625,0.0,0.0,0.0,0.0,ejepa-wm-harnesses-enterpriseopsgym-llm-wm-2-20260914T040655Z.json
EnterpriseOps-Gym,opsgym_80_test,LLM-WM (state output),llm_wm_beam_action_terminal_crmarenapro,itp_i,closed_loop,,1,80,80,1.0,,10.7375,2.0875,2.0875,10.475,10.475,0.0375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ejepa-wm-harnesses-enterpriesops-gym-llm-wm-20260911T173111Z.json
EnterpriseOps-Gym,opsgym_80_test,LLM-WM (state output),llm_wm_beam_action_terminal_crmarenapro,itp_i,open_loop,,1,80,80,1.0,,10.0125,1.375,1.375,9.8875,9.8875,0.0375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ejepa-wm-harnesses-enterpriseopsgym-llm-wm-2-20260914T040655Z.json
EnterpriseOps-Gym,opsgym_80_test,LLM-WM (state output),llm_wm_beam_action_terminal_crmarenapro,reference,open_loop,,1,80,80,1.0,,10.05,0.675,0.675,9.6625,2.5,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5625,0.0,2.5,ejepa-wm-harnesses-enterpriseopsgym-llm-wm-2-20260914T040655Z.json
EnterpriseOps-Gym,opsgym_80_test,LLM-WM (state output),llm_wm_beam_action_terminal_crmarenapro,revision,closed_loop,,1,80,80,1.0,,10.3125,1.7375,1.7375,10.2625,9.3625,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.425,0.0,0.0,9.3625,ejepa-wm-harnesses-enterpriesops-gym-llm-wm-20260911T173111Z.json
EnterpriseOps-Gym,opsgym_80_test,LLM-WM (state output),llm_wm_beam_action_terminal_crmarenapro,revision,open_loop,,1,80,80,1.0,,9.425,0.7625,0.7625,8.8625,0.925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9875,0.0,0.0,0.925,ejepa-wm-harnesses-enterpriseopsgym-llm-wm-2-20260914T040655Z.json
